danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo_confidence,time_signature_confidence,key_confidence,mode,mode_confidence,al_type_compilation,al_type_single,exp_False,track_dur_sc,pop_sc,loud_sc,tempo_sc,time_sc,key_sc,follow_sc,target
0.642,0.802,0.213,0.22,0.0,0.0778,0.675,0.092,1.0,0.185,0,0.0,0,1,1,0.1617035006815743,0.6521739130434783,0.8603441072581562,0.200025000657912,0.75,0.8181818181818182,0.0086435790480999,2
0.819,0.56,0.0306,0.337,0.0,0.149,0.931,0.758,1.0,0.363,1,0.402,0,1,1,0.2203152643638156,0.6304347826086956,0.756808082342664,0.3947867049132872,0.75,0.4545454545454546,5.225921132208399e-05,0
0.782,0.538,0.298,0.216,0.0,0.119,0.582,0.108,0.99,0.545,0,0.444,0,0,1,0.2413425563386409,0.4565217391304347,0.7553268259333813,0.5917721518987342,0.75,0.3636363636363636,0.0028747109716219,3
0.706,0.65,0.249,0.0021,1.32e-05,0.173,0.749,0.575,0.305,0.066,0,0.401,0,1,0,0.1277553003277357,0.5326086956521738,0.7224733183941661,0.5724755914629331,0.75,0.4545454545454546,0.0013474262065814,2
0.574,0.69,0.0469,0.175,0.0,0.197,0.298,0.318,0.968,0.26,0,0.592,0,1,1,0.2297249775225499,0.5978260869565217,0.8209578791446692,0.1777546777546778,0.75,0.5454545454545454,0.0027241579176862,2
0.837,0.644,0.0684,0.129,0.00188,0.0979,0.681,0.885,1.0,0.471,0,0.513,0,0,0,0.1128440500014501,0.5217391304347827,0.7332219225948573,0.2698163109555515,0.75,0.9090909090909092,0.0005247275530853,3
0.718,0.836,0.317,0.537,0.0,0.0817,0.391,0.213,0.902,0.318,1,0.441,0,1,0,0.077485570927231,0.6847826086956521,0.8416195070074821,0.4813218768914971,0.75,1.0,0.023391908145917,0
0.851,0.819,0.212,0.337,0.000153,0.0658,0.903,0.187,0.768,0.376,1,0.734,0,1,0,0.1587578671075147,0.8152173913043479,0.8407459455353411,0.7008737072028212,0.5,0.6363636363636364,0.0375777078615582,0
0.513,0.583,0.038,0.355,1.96e-05,0.18,0.866,0.062,1.0,0.521,1,0.615,0,0,1,0.299396009164999,0.7065217391304348,0.6057958904629874,0.7906918603121135,0.75,0.8181818181818182,0.007782815043147,1
0.536,0.702,0.0285,0.154,1.61e-06,0.0938,0.408,0.226,0.993,0.433,0,0.556,0,0,1,0.3389617593317671,0.6086956521739131,0.7780774051426183,0.5006315955683044,0.75,1.0,0.0036007060036801,3
0.521,0.471,0.0317,0.786,0.0,0.105,0.269,0.072,0.883,0.436,1,0.498,0,0,1,0.3863656138519099,0.5869565217391304,0.7051540126856317,0.2108805494881444,0.75,0.3636363636363636,0.00618603306924,1
0.814,0.62,0.117,0.253,0.0,0.368,0.597,0.875,0.702,0.458,1,0.366,0,1,1,0.2160409234606572,0.4999999999999999,0.824983858103232,0.5272046632806126,0.75,0.6363636363636364,0.0078352650810101,0
0.705,0.574,0.0953,0.645,0.0,0.113,0.447,0.054,0.974,0.567,0,0.661,0,0,0,0.1716479596275993,0.7173913043478262,0.7589729955562307,0.3616279375773046,0.75,0.9090909090909092,0.0264117199845866,3
0.872,0.665,0.121,0.187,0.0,0.0817,0.897,0.921,1.0,0.19,0,0.346,0,1,1,0.2088463267496157,0.5217391304347827,0.7693797713547798,0.329081028448117,0.75,0.0,0.0264196801774432,2
0.876,0.498,0.0478,0.0706,0.0,0.143,0.428,0.795,0.653,0.986,1,0.699,0,0,1,0.1752135357753995,0.9021739130434784,0.7331079797941432,0.408004158004158,0.75,0.9090909090909092,0.5931138516124639,1
0.754,0.646,0.317,0.152,1.85e-05,0.108,0.429,0.415,1.0,0.475,1,0.77,0,0,1,0.3011126337770817,0.8695652173913044,0.798283261802575,0.7637569409721309,0.75,0.6363636363636364,0.3335865843852912,1
0.761,0.574,0.0675,0.78,0.0,0.459,0.605,0.691,1.0,0.708,1,0.735,0,0,1,0.1540956089213724,0.8152173913043479,0.7070910402977704,0.4222742703755362,0.75,1.0,0.1649209476064377,1
0.555,0.328,0.0289,0.515,0.0,0.153,0.303,0.188,1.0,0.658,1,0.68,0,1,1,0.1890879230836161,0.6521739130434783,0.6250522237836604,0.5247638095739362,0.75,0.0,0.0007154904853205,0
0.62,0.681,0.356,0.0138,0.0,0.0248,0.741,0.087,1.0,0.609,1,0.416,0,1,0,0.1562654079294643,0.7934782608695652,0.8285160849253673,0.1430827127029658,0.75,0.8181818181818182,0.0965785937056229,0
0.749,0.85,0.126,0.203,0.0,0.18,0.912,0.901,0.996,0.769,0,0.746,0,1,1,0.3202909742161896,0.7065217391304348,0.8136655398989706,0.3813718782073212,0.75,0.9090909090909092,0.017831249999716,2
0.702,0.574,0.376,0.12,0.0,0.0962,0.564,0.448,0.458,0.437,1,0.587,0,0,0,0.2218560573102468,0.4782608695652173,0.5985415321508601,0.526796757809416,0.75,0.1818181818181818,0.0031789702609103,1
0.716,0.613,0.272,0.627,0.000207,0.0981,0.56,0.297,1.0,0.549,1,0.658,0,1,1,0.2018493140752342,0.5543478260869565,0.7365262638155645,0.2628621805836996,0.75,0.6363636363636364,0.0099610454877315,0
0.559,0.465,0.0241,0.524,1.07e-06,0.12,0.324,0.04,1.0,0.685,1,0.638,0,0,1,0.3626120247106935,0.5652173913043479,0.7821793459683237,0.1313192452432958,0.75,0.9090909090909092,0.0137371392566224,1
0.412,0.236,0.0379,0.83,0.00653,0.147,0.119,0.342,0.819,0.655,0,0.65,0,1,1,0.3714579889207923,0.8478260869565217,0.44262979984048,0.5277309929208663,0.75,0.3636363636363636,0.6999094255453221,2
0.841,0.358,0.591,0.0201,0.0,0.39,0.329,0.549,0.727,0.0,1,0.148,0,0,0,0.3354995069462572,0.8804347826086956,0.7421474419841239,0.6447209137082556,0.75,0.8181818181818182,0.6578127452774181,1
0.765,0.658,0.112,0.498,2.48e-05,0.632,0.28,0.701,0.885,0.157,1,0.408,0,0,0,0.319174352504423,0.4673913043478261,0.6482965551293249,0.4271230821863733,0.75,0.1818181818181818,0.0031789702609103,1
0.658,0.757,0.0724,0.223,0.000132,0.0777,0.372,0.402,1.0,0.205,0,0.403,0,1,0,0.180185765248412,0.6521739130434783,0.7518325800448173,0.5587515460933182,0.75,0.6363636363636364,0.0154073349269772,2
0.662,0.561,0.0676,0.075,0.0,0.211,0.36,0.128,0.969,0.395,0,0.493,0,1,1,0.1450828765335421,0.5869565217391304,0.7743932545861976,0.1150359219979473,0.75,0.6363636363636364,0.0012386641651427,2
0.369,0.467,0.0274,0.0194,0.46,0.109,0.174,0.5,1.0,0.513,1,0.526,0,0,1,0.3873480959424577,0.8152173913043479,0.675870712902123,0.2267954419853154,0.75,0.4545454545454546,0.057835408200916,1
0.519,0.246,0.0396,0.774,2.35e-06,0.0946,0.108,0.209,0.995,0.536,1,0.521,0,1,1,0.4275428521708866,0.7282608695652173,0.4923468418853735,0.1981631095555146,0.75,0.4545454545454546,0.0135965273567793,0
0.7,0.589,0.0281,0.0297,1.4e-05,0.0987,0.915,0.519,1.0,0.743,0,0.657,0,1,1,0.29667515009136,0.7608695652173914,0.6395609404079151,0.2632503486933866,0.75,1.0,0.0004708962945438,2
0.931,0.676,0.0498,0.0152,0.0,0.103,0.739,1.0,1.0,0.029,0,0.283,0,1,1,0.1604962440906058,0.6086956521739131,0.7338296175319988,0.3417655727782309,0.75,0.5454545454545454,0.0074581918358317,2
0.851,0.542,0.122,0.361,3.73e-06,0.132,0.789,0.238,0.147,0.39,1,0.246,0,1,1,0.2174820180399663,0.8043478260869565,0.7087622013749098,0.2756322534803547,0.75,0.9090909090909092,0.019889650463479,0
0.419,0.811,0.0364,0.101,0.0,0.307,0.563,0.167,0.968,0.549,1,0.589,0,1,1,0.3315695785840656,0.6195652173913044,0.8184891184625317,0.6971565041185294,0.75,1.0,0.0016785284293153,0
0.797,0.791,0.33,0.119,0.0,0.113,0.828,0.775,1.0,0.498,1,0.402,0,0,0,0.2303938629310595,0.7391304347826086,0.7804702039576131,0.513539829995526,0.75,0.9090909090909092,0.0149863715773499,1
0.764,0.572,0.0514,0.134,0.0,0.114,0.374,0.467,0.758,0.652,0,0.766,0,1,1,0.2067816642013979,0.5217391304347827,0.7891298568118803,0.3942998499960526,0.75,1.0,6.780703093121035e-05,2
