artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
Luke Combs,78,australia,0.608,0.745,0.0226,6.47e-06,0.464,-4.13,0.387,4,0.966,0,1,0,0,0,0,0,0,0,0,0,0.562,1,0.612,8028951,0,0,1,2.4849066497880004,5.413546031464395,-3.586322865788844,-2.3623350973998196,4.62521788129187
Felipe Amorim,80,brasil,0.942,0.85,0.345,8.25e-05,0.963,-1.821,0.819,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0.542,526138,0,1,0,0.0,4.927253685157205,-2.397995277798704,-0.9623346703755619,4.7874000719137335
Abo El Anwar,54,egipto,0.852,0.688,0.485,1.66e-06,0.673,-5.124,0.497,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.303,0,0.243,576850,0,1,1,0.0,5.33299894725529,-1.5558971455060706,-1.6144504542576446,4.625462889255854
Rasmus Gozzi,73,suecia,0.556,0.674,0.207,0.0,0.447,-5.518,0.045,4,0.639,0,0,1,0,0,0,0,0,0,0,0,0.506,1,0.539,50616,0,0,1,1.9459101490553132,4.797598827025327,-1.0133524447172864,-1.2173958246580767,5.337855337062186
Bakr,56,kazijistán,0.63,0.551,0.463,0.0,0.479,-7.425,0.083,5,0.888,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.266,290035,0,1,1,0.0,5.229320923626136,-1.305636458102436,-2.0635681925235456,4.7797535466869245
Vicky Chen,63,taiwán,0.407,0.497,0.263,0.0,0.312,-5.828,0.142,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.12,0,0.438,127168,0,0,1,2.70805020110221,5.199513089489434,-3.3326045901965435,-2.1892564076870427,5.0251560228371215
LOVV66,47,bielorrusia,0.714,0.834,0.344,0.0,0.862,-5.935,0.779,4,0.856,0,0,0,0,0,1,0,0,0,0,0,0.547,0,0.396,252401,0,0,0,2.302585092994046,4.894258768840213,-2.333044300478754,-1.2039728043259361,4.956094627435062
Mrs. GREEN APPLE,76,japón,0.736,0.695,0.0209,0.0,0.784,-3.87,0.769,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.52,1,0.618,2418607,0,1,1,0.0,5.31393969995054,-3.061872076058536,-2.9622974974677536,4.700262160169119
Yzomandias,55,eslovaquia,0.728,0.702,0.0453,0.0,0.59,-7.751,0.75,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.983,1,0.782,349928,0,0,0,2.772588722239781,5.406292461213335,-1.7897614665653818,-1.0272222925814367,4.996800026639782
NICKTHEREAL,60,taiwán,0.478,0.738,0.00432,0.0,0.353,-4.464,0.184,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.45,0,0.542,190922,0,0,1,2.302585092994046,5.525217851739952,-3.1844743981508685,-1.870802676568508,5.099829841789084
Brødrene Bausa,63,noruega,0.795,0.519,0.337,0.02,0.502,-9.626,0.78,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.233,1,0.447,1888,0,1,1,0.0,5.21769282297415,-3.20398721237445,-2.377308639189982,4.859285133595924
IVE,78,korea_sur,0.828,0.731,0.0617,0.0,0.587,-3.033,0.865,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.415,1,0.193,1753295,0,1,1,0.6931471805599453,5.184325261226633,-2.198225077669803,-3.036554268074246,4.787308392641103
KJ,64,tailandia,0.796,0.663,0.67,1.1e-06,0.892,-8.557,0.086,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.496,0,0.554,6583,0,1,1,0.0,5.3047466543129405,-2.7257051363409306,-1.8451602459551701,4.532481206587784
10cm,56,korea_sur,0.63,0.653,0.175,0.0,0.442,-3.592,0.528,4,0.783,0,0,0,0,0,0,0,0,0,0,0,0.668,1,0.643,435526,0,1,1,0.6931471805599453,5.304696973512076,-3.6809112844647593,-2.2256240518579173,4.644419744879176
Yzomandias,56,eslovaquia,0.665,0.802,0.49,0.0,0.764,-5.346,0.629,4,0.989,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.195,349928,0,0,0,3.970291913552122,5.259368616409462,-1.6607312068216509,-1.5702171992808192,4.525639847031283
Ado,74,japón,0.49,0.987,0.049,3.24e-06,0.451,-2.279,0.864,4,0.562,0,0,0,0,0,0,0,1,0,0,0,0.347,1,0.52,2261100,0,0,1,2.0794415416798357,5.424125889434899,-1.374365790254617,-0.9014021193804044,5.1651516213520585
THEMOONWILLALWAYSBEWITHME,68,tailandia,0.578,0.569,0.441,0.00883,0.734,-8.811,0.337,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.512,1,0.591,33364,0,1,1,0.0,5.419268711142113,-2.543383579546976,-2.1892564076870427,5.124749385177095
uglystephan,57,bielorrusia,0.846,0.535,0.000147,0.0,0.164,-7.268,0.295,4,0.971,0,1,0,0,0,0,0,0,0,0,0,0.345,1,0.554,129105,0,1,0,0.0,4.8438405697356925,-1.7957674906255938,-2.4168742393961735,4.926724559687764
MC 張天賦,59,hong_kong,0.737,0.483,0.318,0.0,0.514,-6.416,0.124,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.439,1,0.459,121456,0,1,1,0.0,5.397882119171782,-3.470547459796949,-1.2275826699650698,4.4304119550003405
Jasmin Moallem,54,israel,0.343,0.331,0.857,0.0,0.154,-11.067,0.105,3,0.726,1,0,0,0,0,0,0,0,0,0,0,0.324,0,0.462,58404,0,1,1,0.0,5.280560644958777,-3.167707538293801,-2.4123999590012524,5.157041779190083
Atif Aslam,58,pakistán,0.616,0.828,0.259,0.0,0.53,-4.912,0.333,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.35,0,0.505,13266966,0,1,1,0.0,5.1310814471721224,-1.6607312068216509,-2.1715568305876416,4.6029677624328915
Pineapple StormTv,82,brasil,0.572,0.579,0.469,0.0,0.5,-5.288,0.616,4,0.951,0,0,0,1,0,0,0,0,0,0,0,0.237,0,0.348,7124356,1,0,1,0.0,6.442737599206373,-2.05572501506252,-1.995100393246085,4.851764603635049
Annalisa,72,italia,0.635,0.95,0.00985,0.0,0.604,-2.41,1.0,4,0.974,1,0,0,0,0,0,0,0,0,0,0,0.402,1,0.505,992291,0,1,1,0.0,5.3049652205195015,-3.18689277901515,-2.9393519401178834,4.99725281348291
Pheelz,66,nigeria,0.823,0.717,0.0356,0.0,0.489,-3.879,0.885,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.181,1,0.261,140877,0,1,1,0.6931471805599453,4.889687255096716,-2.65356201581814,-2.282782465697866,4.70951218313199
Dolu Kadehi Ters Tut,72,turquía,0.685,0.416,0.352,8.73e-05,0.696,-8.609,0.446,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.731,0,0.554,2041777,0,0,1,2.1972245773362196,5.337129342333426,-3.451438598098902,-2.24431618487007,4.787425073893059
The Walters,88,indonesia,0.575,0.648,0.583,0.0,0.466,-4.891,0.247,4,0.969,0,0,0,0,0,0,0,0,0,0,1,0.748,1,0.652,458490,0,1,1,0.0,5.076666450699048,-3.3298073855754824,-2.162823150618887,4.330430662905206
Ak4:20,74,chile,0.861,0.786,0.289,0.0,0.907,-4.934,0.229,4,0.994,1,0,0,0,0,0,0,0,0,0,0,0.653,1,0.686,654865,0,1,1,0.0,5.44673737166631,-1.8078888511579385,-0.5091603444469295,4.52212547681368
Rauw Alejandro,80,españa,0.836,0.826,0.213,6.03e-06,0.579,-2.66,0.578,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0.299,15784982,0,0,0,2.8903717578961645,5.283716287712521,-3.076942328979534,-2.5083800059736423,4.62521788129187
Jennifer Rojo,68,república_dominicana,0.63,0.802,0.0189,1.02e-06,0.576,-5.9,0.526,4,0.961,0,0,0,0,0,0,0,0,0,1,0,0.354,1,0.39,3900,0,1,1,0.0,5.250958427686866,-2.2926347621408776,-1.1874435023747254,4.574587259510298
kizaru,54,bielorrusia,0.875,0.662,0.0155,1.28e-06,0.27,-7.815,0.037,4,0.674,0,0,0,0,0,1,0,0,0,0,0,0.372,0,0.448,1079604,0,0,0,2.4849066497880004,4.9654705501418634,-0.8794767587514388,-1.5417792639602856,4.343311793545769
Tiara Andini,75,indonesia,0.474,0.411,0.706,5.85e-05,0.29,-7.946,0.291,4,0.932,0,0,0,0,1,0,0,0,0,0,0,0.288,1,0.551,2757790,0,0,1,2.0794415416798357,5.564520407322694,-3.582719258285546,-1.2552660987134867,4.851967761966411
Ernia,67,italia,0.656,0.786,0.195,0.0,0.536,-5.098,0.581,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0.038,1,0.244,790570,0,0,0,2.6390573296152584,5.275432494010578,-1.313043899380298,-1.0133524447172864,5.170557855946732
Eden Hason,56,israel,0.776,0.817,0.228,4.27e-05,0.965,-6.216,0.672,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0.471,0,0.416,576498,0,1,1,0.0,5.11767639677628,-2.475748712003235,-2.787093408442663,4.605100183537977
Bir,63,pakistán,0.772,0.702,0.211,0.00114,0.471,-7.73,0.429,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,0.603,7056,0,1,0,0.0,4.94272754793352,-2.1037342342488805,-2.047942874620465,4.499754113231442
José Feliciano,72,austria,0.514,0.818,0.406,1.93e-06,0.967,-9.642,0.629,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0.807,1,0.7,331463,0,0,1,3.1354942159291497,5.205686593924134,-3.0988730324735045,-1.2073117055914506,5.0021527521803435
Triad,63,suecia,0.678,0.558,0.751,0.0,0.754,-8.633,0.313,4,0.667,0,0,0,0,0,0,0,0,0,1,0,0.518,1,0.537,3734,0,1,1,0.6931471805599453,5.671028540078108,-3.4834926243889854,-1.6450650900772514,4.679173152628928
Eladio Carrion,72,república_dominicana,0.849,0.694,0.527,7.72e-05,0.791,-4.305,0.656,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.445,1,0.574,2906636,0,0,0,2.302585092994046,5.133766963239201,-2.7936080894638566,-2.537042404208529,4.753348782659345
Quevedo,76,españa,0.827,0.541,0.46,4.42e-05,0.256,-10.743,0.551,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0.803,1275725,0,1,1,0.0,5.3643251203345335,-1.491654876777717,-2.355985869721161,4.8522489899973245
HAVAL,65,suecia,0.762,0.85,0.519,0.00303,0.571,-5.85,0.732,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.873,0,0.765,69574,0,1,0,0.0,4.982290687753771,-1.7486999797676082,-2.137070654516472,4.904044392193986
Avi Aburomi,56,israel,0.657,0.522,0.793,0.0,0.787,-7.848,0.424,4,0.877,0,1,0,0,0,0,0,0,0,0,0,0.731,0,0.701,61066,0,1,1,0.0,5.036751283449028,-2.9431398234348203,-2.145581344184381,4.853037568917549
ØMG,52,república_dominicana,0.725,0.637,0.222,3.27e-06,0.811,-5.579,0.666,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.464,1,0.732,552,0,1,0,0.0,5.121180346785603,-3.036554268074246,-2.3065931143915845,4.643852292580435
Kris Kross Amsterdam,73,bélgica,0.741,0.727,0.0231,0.0,0.716,-4.835,0.663,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.43,0,0.471,192966,0,1,1,0.0,5.002072067435768,-1.8643301620628905,-2.111964733385396,5.011041878096445
Hooja,65,suecia,0.64,0.663,0.254,3.69e-06,0.279,-7.778,0.149,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.35,0,0.573,81928,0,1,1,0.0,4.871832891215797,-2.3783868064103277,-1.2344320118106447,4.526819379575422
Osher Cohen,54,israel,0.675,0.746,0.568,0.000112,0.334,-9.602,0.709,4,0.489,0,0,0,0,0,0,0,0,0,0,0,0.699,0,0.643,129704,0,1,1,0.0,5.451154326680478,-3.2649197633696074,-2.162823150618887,4.828321737270302
Yüzyüzeyken Konuşuruz,72,turquía,0.558,0.68,0.56,0.905,0.542,-9.301,0.219,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.649,0,0.543,2472294,0,0,1,2.1972245773362196,4.97608525633685,-3.0449225177447627,-2.234926444520231,4.521429817050193
Dermot Kennedy,72,irlanda,0.463,0.827,0.216,0.0,0.399,-4.482,0.234,4,0.976,0,0,0,0,0,0,1,0,0,0,0,0.337,0,0.514,1284101,0,0,1,2.3978952727983707,5.4681993719484,-1.5186835491656363,-1.9310215365615626,5.158227370369112
Akhil Sachdeva,76,inglaterra,0.676,0.696,0.666,0.0,0.606,-6.68,0.622,4,0.988,0,0,0,0,0,0,0,0,0,1,0,0.544,1,0.545,306158,0,1,1,0.0,5.354593724824661,-3.0966581921439515,-2.3740810946991155,4.55329777657738
Gilli,60,dinamarca,0.749,0.731,0.173,2.39e-06,0.665,-7.073,0.616,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0.515,1,0.518,212130,0,0,0,2.5649493574615367,5.309479833754148,-1.0328245481301066,-1.8325814637483102,5.023038060813298
Baddies,60,noruega,0.616,0.692,0.0484,0.0,0.931,-7.462,0.035,4,0.425,0,0,0,0,0,0,1,0,0,0,0,0.67,1,0.6,3478,0,1,1,0.0,5.0543267677206805,-2.6882475738060303,-3.830443018435723,5.327565440907022
MC Marks,78,brasil,0.859,0.561,0.472,0.0,0.681,-3.519,0.0,5,0.962,0,0,0,1,0,0,0,0,0,0,0,0.352,0,0.475,1034546,0,1,1,0.0,4.98922777965737,-2.1715568305876416,-2.198225077669803,4.723788428317814
Drake,95,global,0.561,0.52,0.0503,1.86e-06,0.424,-9.39,0.204,4,0.954,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.041,72390794,0,0,0,2.772588722239781,5.477964516969899,-1.410587053688935,-1.0356374895067213,5.075611219558606
Bizarrap,97,global,0.621,0.782,0.0125,0.033,0.55,-5.548,0.723,4,0.973,0,0,1,0,0,0,0,0,0,0,0,0.379,1,0.564,9423370,0,1,1,0.0,5.29298819168697,-3.123565645063876,-1.4696759700589417,4.8522880431916855
(G)I-DLE,79,korea_sur,0.755,0.87,0.00988,0.0,0.645,-2.414,0.811,4,0.965,0,1,0,0,0,0,0,0,0,0,0,0.452,0,0.583,5175133,0,0,1,2.0794415416798357,5.161271233023292,-2.3687248954985907,-2.3892328997197176,4.8205395968282465
Camille,55,bélgica,0.671,0.773,0.152,0.0,0.846,-6.289,0.236,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.451,1,0.461,76148,0,0,1,2.5649493574615367,5.291146718793714,-2.6897192444174864,-2.2072749131897207,5.093289972218444
BSW,45,hungría,0.779,0.612,0.0423,0.0,0.293,-7.35,0.215,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.504,1,0.508,161166,0,0,0,2.833213344056216,5.358791388789631,-2.9243422774673182,-2.071473372030659,4.499587423413026
Hayd,70,vietnam,0.778,0.134,0.967,0.00352,0.287,-17.927,0.45,4,0.994,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0.547,218793,0,1,1,1.791759469228055,5.217969195558665,-2.9838037026887174,-2.3687248954985907,4.754262378930604
Lazza,76,italia,0.594,0.746,0.188,0.0,0.0802,-5.853,0.337,4,0.926,0,0,0,0,0,0,0,1,0,0,0,0.353,0,0.52,1266122,0,0,0,2.833213344056216,5.151289591827106,-1.987774353154012,-2.311625837646195,5.101273973352426
Ryokuoushoku Shakai,71,japón,0.619,0.941,0.0439,1.73e-05,0.624,-1.618,0.779,4,0.998,0,0,0,0,0,0,0,0,1,0,0,0.349,1,0.41,661843,0,1,1,0.0,5.489210416246092,-2.8404393891479556,-1.1457038962019601,4.927014526126181
The Weeknd,87,global,0.586,0.525,0.111,0.0,0.508,-7.163,0.104,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.305,0,0.511,59590626,0,0,1,2.8903717578961645,5.56165423480616,-2.7887181041696647,-2.0099154790312257,4.895067303415422
Albin Lee Meldau,66,suecia,0.547,0.515,0.636,7.57e-06,0.373,-7.432,0.645,4,0.985,0,0,1,0,0,0,0,0,0,0,0,0.637,1,0.664,99925,0,1,1,0.0,5.373897825489352,-3.586322865788844,-2.071473372030659,4.905282185818402
Keung To,68,hong_kong,0.624,0.667,0.0399,3.42e-05,0.223,-6.938,0.313,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.509,0,0.509,94465,0,1,1,0.0,5.531510253715248,-2.198225077669803,-2.2633643798407643,4.9906842557877065
Punto40,81,chile,0.862,0.739,0.703,2.29e-05,0.885,-4.612,0.494,4,0.974,0,0,0,0,0,0,1,0,0,0,0,0.622,1,0.481,13255,0,1,0,0.0,5.286563560410518,-0.9493305859523552,-1.9589953886039688,4.585712099330968
Zap Tharwat,56,egipto,0.365,0.421,0.36,4.99e-05,0.201,-10.082,0.036,4,0.924,0,0,0,0,0,0,1,0,0,0,0,0.56,0,0.611,289130,0,1,1,0.0,5.576361896723202,-2.7257051363409306,-2.6464848454440553,5.190264340446164
Arthur Nery,74,filipinas,0.644,0.315,0.706,0.00162,0.356,-9.382,0.018,4,0.871,0,0,0,0,0,0,1,0,0,0,0,0.478,1,0.598,3100792,0,1,1,0.0,5.693735505800398,-3.3843402645957323,-2.3413259213104762,4.09436122874988
Luan Santana,74,brasil,0.653,0.68,0.0962,0.0,0.512,-5.507,0.975,4,0.937,0,0,0,0,1,0,0,0,0,0,0,0.12,0,0.369,6968164,0,0,1,2.772588722239781,5.346764614785664,-3.513246885470778,-0.1232982163444936,4.836662786788495
Isac Elliot,61,finlandia,0.704,0.818,0.0324,0.0205,0.909,-4.71,0.824,4,0.986,0,1,0,0,0,0,0,0,0,0,0,0.813,0,1.0,102828,0,1,1,0.0,5.109774497460781,-3.448288989196006,-1.0328245481301066,4.867242100033054
Paradox,73,inglaterra,0.674,0.566,0.77,0.0,0.186,-8.551,0.301,4,0.92,0,0,0,0,0,1,0,0,0,0,0,0.782,0,0.869,407266,0,1,1,1.3862943611198906,5.2574953720277815,-2.5232317641096684,-1.7092582477163114,4.554350463658117
Eminem,91,global,0.637,0.678,0.209,0.0,0.254,-3.798,0.695,4,0.994,1,0,0,0,0,0,0,0,0,0,0,0.548,1,0.616,66721366,0,0,0,3.1354942159291497,5.5244963064057675,-1.324258970200438,-1.8578992717326,4.431280976810336
Grupo Marca Registrada,86,mexico,0.794,0.594,0.283,0.000381,0.637,-8.698,0.296,3,0.69,0,0,0,0,0,0,0,1,0,0,0,0.598,0,0.658,2188898,0,1,1,0.0,5.080764408703322,-1.973281345851445,-2.2164073967529934,4.597521005456476
FACE,59,bielorrusia,0.423,0.657,0.607,0.0296,0.567,-6.361,0.263,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.194,1,0.278,883033,0,0,0,2.833213344056216,4.7892818063285425,-3.024131748075689,-1.1907275775759154,4.866795716120091
The Kid LAROI,86,global,0.591,0.764,0.0383,0.0,0.478,-5.484,0.571,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.568,1,0.591,4379927,0,0,0,3.367295829986474,4.954452874407264,-3.03032371832361,-2.2730262907525014,5.135374817924584
Gambi,76,francia,0.752,0.669,0.167,0.0,0.627,-9.817,0.403,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.527,0,0.522,1056904,0,1,1,0.0,4.819038858280176,-1.3823023398503531,-2.5319982573218507,5.049836776295392
Christian Nodal,83,mexico,0.588,0.452,0.437,0.0,0.734,-4.75,0.732,4,0.8,0,0,0,0,0,0,0,1,0,0,0,0.669,1,0.673,12996343,0,1,1,0.0,5.224250931993155,-3.619353391465326,-1.0671136216087387,4.941306651958934
Rauw Alejandro,76,españa,0.857,0.829,0.00112,0.015,0.208,-0.484,0.974,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.509,1,0.47,15784982,0,0,0,2.8903717578961645,5.250460266938448,-2.474560357733856,-1.3664917338237108,4.6727634117611405
Joshy Tripp,48,república_dominicana,0.639,0.373,0.302,6.79e-06,0.259,-13.283,0.45,4,0.988,0,0,0,0,0,0,0,0,0,0,0,0.627,0,0.628,2198,0,1,1,0.0,5.2462342866778116,-2.6324790142551358,-2.0874737133771,4.898421720154741
Icy Subzero,75,italia,0.651,0.819,0.32,0.0,0.513,-4.695,0.035,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.363,0,0.407,70532,0,1,0,0.0,5.085983924886104,-1.742969305058623,-1.0642108619507773,4.5218211852130406
SCH,65,francia,0.648,0.496,0.291,0.0575,0.161,-6.74,0.714,4,0.944,0,0,0,0,0,0,0,0,1,0,0,0.131,1,0.418,1819933,0,0,0,2.6390573296152584,5.385228738537333,-1.6450650900772514,-2.1286317858706076,4.851467605657141
XXXTENTACION,87,ucrania,0.746,0.251,0.782,0.00203,0.18,-16.169,0.376,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0.573,40578351,0,0,0,2.3978952727983707,4.78770838597988,-1.3509272172825992,-2.24431618487007,4.941635279726651
Essam Sasa,60,egipto,0.579,0.9,0.435,0.0,0.741,-2.534,0.045,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.48,0,0.496,1667113,0,1,1,0.0,5.379049067580358,-1.8451602459551701,-1.0078579253996456,5.226219680107606
Rauw Alejandro,73,españa,0.77,0.521,0.372,3.91e-05,0.222,-6.982,0.03,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.22,1,0.409,15784982,0,0,1,2.8903717578961645,5.342018412619131,-1.6347557204183902,-1.2039728043259361,4.521940739384808
buitruonglinh,57,vietnam,0.322,0.396,0.281,0.0,0.176,-11.531,0.089,4,0.239,0,0,0,1,0,0,0,0,0,0,0,0.458,1,0.674,145124,0,1,1,1.6094379124341003,5.647282667416716,-3.3298073855754824,-2.2730262907525014,4.779711555463083
Page Four,56,dinamarca,0.587,0.565,0.0355,0.0,0.659,-6.078,0.32,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.101,0,0.35,18955,0,1,1,0.0,5.256760727242371,-2.811745437440975,-2.3289290683336477,5.150553745962296
Glass Animals,86,global,0.761,0.525,0.44,6.7e-06,0.531,-6.9,0.304,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.404,1,0.42,3672755,0,0,1,2.8903717578961645,5.4756473193227,-2.360214205830682,-2.384880335720876,4.392842927107731
Young Igi,62,polonia,0.697,0.718,0.0981,0.0,0.684,-6.102,0.498,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.306,678134,0,0,1,2.833213344056216,4.971679612485679,-2.50715225873532,-2.162823150618887,5.181822875361541
La K'onga,71,argentina,0.619,0.739,0.464,0.0,0.672,-5.743,0.647,4,0.897,0,0,0,0,1,0,0,0,0,0,0,0.196,1,0.304,1590816,0,0,1,2.6390573296152584,5.380229095742953,-1.7897614665653818,-1.2552660987134867,5.010468613539157
Viktor Sheen,57,república_checa,0.771,0.666,0.318,1.45e-06,0.737,-7.507,0.799,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.577,0,0.634,404192,0,0,0,2.772588722239781,4.869724358547849,-1.8388510767619055,-2.397995277798704,4.941856685367686
Calin,63,eslovaquia,0.604,0.649,0.4,0.273,0.273,-8.306,0.408,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0.428,0,0.592,293178,0,1,0,0.0,4.736198448394496,-2.9488486876551407,-1.6820086052689358,4.787616734970197
Ulukmanapo,59,kazijistán,0.608,0.591,0.489,9.01e-06,0.562,-5.312,0.165,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.608,0,0.651,119174,0,1,1,0.0,5.196937805254773,-2.460409178187613,-2.387054249620496,4.441073541964798
Babblarna,71,suecia,0.299,0.234,0.828,0.000101,0.333,-13.009,0.257,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.602,1,0.629,33846,0,1,1,0.0,5.811299663022673,-3.438899248846167,-2.3444492970927446,5.227728579407738
Duki,74,argentina,0.812,0.925,0.487,0.0,0.614,-3.092,0.469,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.429,0,0.51,8050201,0,0,1,2.0794415416798357,5.174606169010946,-2.1803674602697964,-2.162823150618887,4.70076214427095
Matheus & Kauan,81,brasil,0.504,0.827,0.353,0.0,0.737,-2.948,0.344,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.387,1,0.778,10674079,0,1,1,0.0,5.102199070949243,-2.162823150618887,-2.2926347621408776,4.330206885944085
Dean Martin,86,alemania,0.451,0.24,0.912,2.45e-06,0.701,-14.014,0.367,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.645,1,0.402,1447417,0,0,1,2.4849066497880004,4.76342102011138,-3.349554148510317,-1.742969305058623,4.897906961874603
Marina Maximilian,55,israel,0.825,0.783,0.123,0.00117,0.652,-6.674,0.947,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.524,0,0.536,102718,0,1,1,0.0,5.279745980962601,-3.0966581921439515,-2.145581344184381,4.828425731030769
Young Igi,53,polonia,0.527,0.598,0.252,0.0,0.184,-8.509,0.033,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.478,0,0.555,678134,0,0,0,2.833213344056216,5.216483472323901,-1.04412410338404,-2.145581344184381,5.124148486190359
Marwan Pablo,54,egipto,0.531,0.65,0.0774,0.0041,0.422,-10.228,0.232,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.654,0,0.558,1079564,0,1,1,0.0,5.0530623997361515,-1.9105430052180221,-2.311625837646195,4.718606008412851
Manuel,55,hungría,0.791,0.783,0.405,0.0,0.879,-3.541,0.593,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.535,1,0.726,177480,0,1,0,0.0,5.043089576760976,-3.228926160721702,-2.9917402522844534,4.701107441866385
Quevedo,78,españa,0.49,0.692,0.336,0.0,0.484,-4.291,0.509,1,0.409,0,0,0,0,0,0,0,1,0,0,0,0.476,1,0.531,1275725,0,1,1,0.0,4.9998169866603765,-1.2946271725940668,-0.41703174447962976,4.626540211724284
MC 張天賦,64,hong_kong,0.679,0.563,0.503,0.0,0.631,-7.009,0.27,4,0.99,0,0,0,0,0,0,0,0,0,0,1,0.424,1,0.303,121456,0,1,1,0.6931471805599453,5.411422812653309,-3.3991993789994823,-2.282782465697866,4.672959667024449
Favé,76,francia,0.697,0.759,0.0505,6.48e-05,0.516,-5.929,0.607,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.645,0,0.569,77123,0,1,1,0.0,4.997313619979765,-1.1116975282167652,-2.551046452292545,5.087503738352833
Burhan G,51,dinamarca,0.565,0.639,0.385,0.0,0.427,-6.599,0.0,4,0.884,0,0,0,0,1,0,0,0,0,0,0,0.78,1,0.65,117366,0,0,1,2.3978952727983707,5.307871579352848,-3.503230107227307,-2.2537949288246137,4.51065069350814
Gilli,64,dinamarca,0.808,0.692,0.013,0.00323,0.382,-6.708,0.772,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.589,1,0.476,212130,0,0,0,2.5649493574615367,4.9178618939439005,-1.6713133161521878,-1.9805015938249322,4.8601224338169535
Ernia,73,italia,0.539,0.51,0.881,0.0,0.621,-12.734,0.044,4,0.8,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0.157,790570,0,0,0,2.6390573296152584,5.394985714533356,-0.9063404010209869,-2.2256240518579173,4.488400386834186
Diljit Dosanjh,76,inglaterra,0.789,0.744,0.281,0.0,0.783,-7.245,0.912,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.633,1,0.531,14827586,0,1,1,1.6094379124341003,5.115991809746082,-3.1844743981508685,-2.573082340691726,4.96979941059066
