artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
BSW,44,hungría,0.58,0.778,0.189,1.66e-05,0.277,-6.365,0.057,4,0.976,0,0,0,0,0,0,0,0,1,0,0,0.531,1,0.675,161166,0,0,0,2.833213344056216,5.455970477126277,-2.3197312518290163,-2.2164073967529934,5.214702034645728
El Waili,55,egipto,0.854,0.367,0.421,7.73e-05,0.349,-14.477,0.123,4,0.864,0,0,0,1,0,0,0,0,0,0,0,0.387,0,0.448,153761,0,1,0,0.0,5.279165127703427,-1.1147416705979933,-2.4046178185591973,4.604970165985424
Burna Boy,74,nigeria,0.776,0.565,0.36,8.81e-05,0.53,-10.609,0.748,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.586,1,0.699,4807656,0,0,0,2.9444389791664403,5.379855878025984,-2.2537949288246137,-1.1776554960085626,4.673155883779185
Vaundy,77,japón,0.528,0.855,7.38e-05,1.81e-06,0.549,-5.229,0.903,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.169,1,0.336,1358129,0,1,1,0.0,5.303289982574557,-2.3507254683219805,-1.2694006096483912,4.990344147493948
Budi Doremi,69,indonesia,0.448,0.309,0.845,0.0,0.385,-9.328,0.133,4,0.995,0,0,0,0,0,0,0,0,0,1,0,0.608,1,0.682,1336064,0,0,1,2.302585092994046,5.571142113516624,-3.564893474332945,-2.0402208285265546,4.9414781233986425
IVE,85,korea_sur,0.68,0.922,0.103,0.0,0.799,-1.215,0.817,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.457,1,0.548,1753295,0,1,1,0.6931471805599453,5.175997178565177,-2.111964733385396,-2.4338333796039997,4.828425731030769
Nebi,51,finlandia,0.826,0.618,0.0189,3e-06,0.361,-6.6,0.316,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.603,1,0.659,6343,0,0,0,2.3978952727983707,5.298317366548036,-1.287354413264987,-2.2256240518579173,4.989758890508602
Pop Pongkool,68,tailandia,0.544,0.582,0.409,4.47e-06,0.359,-6.846,0.019,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.585,1,0.707,742757,0,1,1,0.0,5.57762950865562,-3.283414346005772,-1.0729445419195318,5.088059191061059
The Motans,49,rumanía,0.652,0.545,0.0431,0.0,0.524,-8.122,0.808,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.605,1,0.562,341960,0,1,1,0.0,5.19295685089021,-2.320749063621717,-1.903808973036678,4.820426716360479
Bad Bunny,93,global,0.647,0.686,0.08,1.34e-06,0.268,-5.745,0.161,4,0.988,0,0,0,1,0,0,0,0,0,0,0,0.304,0,0.333,65270837,0,0,1,3.1354942159291497,5.554113957137246,-3.18689277901515,-0.6386589952758756,4.381126229430717
YSY A,71,argentina,0.854,0.492,0.129,0.0,0.61,-7.743,0.459,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0.59,0,0.533,1666894,0,0,0,2.4849066497880004,5.026252704991332,-0.8580218237501793,-2.4545714499919273,4.869732033999069
Geolier,68,italia,0.642,0.802,0.22,0.0,0.675,-4.161,0.092,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.185,0,0.0,951295,0,1,1,0.0,5.1099737132755525,-1.546463113272712,-2.553613847797791,4.504288514206837
IGNACY,66,polonia,0.819,0.56,0.337,0.0,0.931,-6.887,0.758,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.363,1,0.402,5841,0,1,1,0.0,5.288267030694535,-3.486755270023802,-1.903808973036678,4.787550074414057
V $ X V PRiNCE,50,kazijistán,0.782,0.538,0.216,0.0,0.582,-6.926,0.108,4,0.99,0,0,0,0,1,0,0,0,0,0,0,0.545,0,0.444,316445,0,0,1,2.70805020110221,5.345200952446887,-1.2106617924767327,-2.1286317858706076,5.01028856732681
STEIN27,57,eslovaquia,0.706,0.65,0.0021,1.32e-05,0.749,-7.791,0.575,4,0.305,0,0,0,0,0,1,0,0,0,0,0,0.066,0,0.401,148371,0,1,0,0.0,4.990010729101814,-1.3903023825174294,-1.7544636844843582,4.990534622389252
Oscar and the Wolf,63,bélgica,0.574,0.69,0.175,0.0,0.298,-5.198,0.318,4,0.968,0,0,0,0,0,0,1,0,0,0,0,0.26,0,0.592,299877,0,1,1,0.0,5.314146423384853,-3.0597376035299035,-1.6245515502441485,4.466126485615381
DESH,56,hungría,0.837,0.644,0.129,0.00188,0.681,-7.508,0.885,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.471,0,0.513,57835,0,0,0,2.6390573296152584,4.932399841242372,-2.682382454353632,-2.3238087294456724,4.615239321664875
UZI,71,turquía,0.718,0.836,0.537,0.0,0.391,-4.654,0.213,4,0.902,0,0,0,0,0,0,0,0,0,0,0,0.318,1,0.441,2574313,0,1,0,0.0,4.7808530889349266,-1.1488535051048565,-2.50470127711618,4.891551412706824
Pharrell Williams,83,eeuu,0.851,0.819,0.337,0.000153,0.903,-4.677,0.187,3,0.768,0,0,0,0,0,0,0,1,0,0,0,0.376,1,0.734,4135426,0,1,0,0.0,5.100116396579406,-1.5511690043101247,-2.7211354406508654,5.115181478276188
Chris Rea,73,noruega,0.513,0.583,0.355,1.96e-05,0.866,-10.863,0.062,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.521,1,0.615,856570,0,0,1,3.332204510175204,5.487391076164525,-3.270169119255751,-1.7147984280919266,5.193973001101334
Tanya Chua,64,taiwán,0.536,0.702,0.154,1.61e-06,0.408,-6.327,0.226,4,0.993,0,0,0,0,0,0,0,0,0,0,0,0.433,0,0.556,396339,0,0,1,2.302585092994046,5.57387498395049,-3.5578511917075324,-2.366590422969958,4.913353171289702
Fish Leong,62,taiwán,0.521,0.471,0.786,0.0,0.269,-8.247,0.072,4,0.883,0,0,0,0,1,0,0,0,0,0,0,0.436,1,0.498,680848,0,0,1,2.302585092994046,5.6685144725708705,-3.451438598098902,-2.2537949288246137,4.522375361379177
Afroto,54,egipto,0.814,0.62,0.253,0.0,0.597,-5.092,0.875,4,0.702,0,0,0,0,0,0,0,1,0,0,0,0.458,1,0.366,862342,0,1,1,0.0,5.276286458477214,-2.145581344184381,-0.9996723408132061,4.9425991076972995
Eladio Carrion,74,españa,0.705,0.574,0.645,0.0,0.447,-6.83,0.054,4,0.974,0,0,0,0,0,0,0,0,0,0,1,0.567,0,0.661,2906636,0,0,0,2.302585092994046,5.142552050563775,-2.3507254683219805,-2.1803674602697964,4.74464513066161
Wegz,56,egipto,0.872,0.665,0.187,0.0,0.897,-6.556,0.921,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.19,0,0.346,2907512,0,1,1,0.0,5.255790795061578,-2.111964733385396,-2.50470127711618,4.700662167447312
Bad Bunny,91,global,0.876,0.498,0.0706,0.0,0.428,-7.511,0.795,4,0.653,0,0,0,0,0,0,0,0,0,0,1,0.986,1,0.699,65270837,0,0,1,3.1354942159291497,5.1539792193013225,-3.0407296394847267,-1.9449106487222299,4.8041521836751535
J Balvin,88,colombia,0.754,0.646,0.152,1.85e-05,0.429,-5.795,0.415,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.475,1,0.77,36710488,0,0,1,2.0794415416798357,5.491302696004654,-1.1488535051048565,-2.2256240518579173,5.17098954904237
Jorge & Mateus,83,brasil,0.761,0.574,0.78,0.0,0.605,-8.196,0.691,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.708,1,0.735,18149242,0,0,1,2.9444389791664403,5.084313173773467,-2.695627681103653,-0.7787050689215919,4.821772389258879
Jaap Reesema,68,países_bajos,0.555,0.328,0.515,0.0,0.303,-10.356,0.188,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.658,1,0.68,78828,0,1,1,0.0,5.197242100523117,-3.543913683863751,-1.8773173575897015,4.939948130964628
Anne-Marie,81,irlanda,0.62,0.681,0.0138,0.0,0.741,-4.999,0.087,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.609,1,0.416,10628331,0,1,0,0.0,5.091699018815984,-1.0328245481301066,-3.6969116258112007,4.403653577286644
SEKAI NO OWARI,73,japón,0.749,0.85,0.203,0.0,0.912,-5.39,0.901,4,0.996,0,0,0,0,0,0,0,0,0,0,1,0.769,0,0.746,1962376,0,1,1,0.0,5.533994049027114,-2.071473372030659,-1.7147984280919266,4.7704134012472945
