track_duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
164.041,83,0.851,0.819,0.212,0.337,0.000153,0.0658,0.903,-4.677,166.531,0.187,3,0.768,7,0.376,1,0.734,4135426,0,1,0
241.626,73,0.513,0.583,0.038,0.355,1.96e-05,0.18,0.866,-10.863,180.183,0.062,4,1.0,9,0.521,1,0.615,856570,0,0,1
263.453,64,0.536,0.702,0.0285,0.154,1.61e-06,0.0938,0.408,-6.327,136.095,0.226,4,0.993,11,0.433,0,0.556,396339,0,0,1
289.604,62,0.521,0.471,0.0317,0.786,0.0,0.105,0.269,-8.247,92.054,0.072,4,0.883,4,0.436,1,0.498,680848,0,0,1
195.642,54,0.814,0.62,0.117,0.253,0.0,0.368,0.597,-5.092,140.134,0.875,4,0.702,7,0.458,1,0.366,862342,0,1,1
171.152,74,0.705,0.574,0.0953,0.645,0.0,0.113,0.447,-6.83,114.967,0.054,4,0.974,10,0.567,0,0.661,2906636,0,0,0
191.673,56,0.872,0.665,0.121,0.187,0.0,0.0817,0.897,-6.556,110.02,0.921,4,1.0,0,0.19,0,0.346,2907512,0,1,1
173.119,91,0.876,0.498,0.0478,0.0706,0.0,0.143,0.428,-7.511,122.016,0.795,4,0.653,10,0.986,1,0.699,65270837,0,0,1
242.573,88,0.754,0.646,0.317,0.152,1.85e-05,0.108,0.429,-5.795,176.089,0.415,4,1.0,7,0.475,1,0.77,36710488,0,0,1
161.469,83,0.761,0.574,0.0675,0.78,0.0,0.459,0.605,-8.196,124.185,0.691,4,1.0,11,0.708,1,0.735,18149242,0,0,1
180.773,68,0.555,0.328,0.0289,0.515,0.0,0.153,0.303,-10.356,139.763,0.188,4,1.0,0,0.658,1,0.68,78828,0,1,1
162.666,81,0.62,0.681,0.356,0.0138,0.0,0.0248,0.741,-4.999,81.749,0.087,4,1.0,9,0.609,1,0.416,10628331,0,1,0
253.153,73,0.749,0.85,0.126,0.203,0.0,0.18,0.912,-5.39,117.968,0.901,4,0.996,10,0.769,0,0.746,1962376,0,1,1
198.85,52,0.702,0.574,0.376,0.12,0.0,0.0962,0.564,-11.054,140.072,0.448,4,0.458,2,0.437,1,0.587,349928,0,0,0
187.813,59,0.716,0.613,0.272,0.627,0.000207,0.0981,0.56,-7.421,99.955,0.297,4,1.0,7,0.549,1,0.658,1096279,0,1,1
276.5,60,0.559,0.465,0.0241,0.524,1.07e-06,0.12,0.324,-6.219,79.961,0.04,4,1.0,10,0.685,1,0.638,1511829,0,0,1
281.38,86,0.412,0.236,0.0379,0.83,0.00653,0.147,0.119,-15.159,140.214,0.342,4,0.819,4,0.655,0,0.65,77023432,0,1,1
261.543,89,0.841,0.358,0.591,0.0201,0.0,0.39,0.329,-7.273,157.996,0.549,4,0.727,9,0.0,1,0.148,72390794,0,0,0
252.537,51,0.765,0.658,0.112,0.498,2.48e-05,0.632,0.28,-9.744,124.922,0.701,4,0.885,2,0.157,1,0.408,349928,0,0,0
175.862,68,0.658,0.757,0.0724,0.223,0.000132,0.0777,0.372,-7.018,144.929,0.402,4,1.0,7,0.205,0,0.403,1695630,0,1,0
156.497,62,0.662,0.561,0.0676,0.075,0.0,0.211,0.36,-6.424,77.486,0.128,4,0.969,7,0.395,0,0.493,136402,0,1,1
290.146,83,0.369,0.467,0.0274,0.0194,0.46,0.109,0.174,-9.018,94.473,0.5,4,1.0,5,0.513,1,0.526,6364737,0,0,1
312.32,75,0.519,0.246,0.0396,0.774,2.35e-06,0.0946,0.108,-13.85,90.121,0.209,4,0.995,5,0.536,1,0.521,1496355,0,1,1
240.125,78,0.7,0.589,0.0281,0.0297,1.4e-05,0.0987,0.915,-9.974,100.014,0.519,4,1.0,11,0.743,0,0.657,51911,0,1,1
165.0,64,0.931,0.676,0.0498,0.0152,0.0,0.103,0.739,-7.492,111.948,1.0,4,1.0,6,0.029,0,0.283,820846,0,1,1
196.437,82,0.851,0.542,0.122,0.361,3.73e-06,0.132,0.789,-8.152,101.896,0.238,4,0.147,10,0.39,1,0.246,2188898,0,1,1
259.375,65,0.419,0.811,0.0364,0.101,0.0,0.307,0.563,-5.263,165.966,0.167,4,0.968,11,0.549,1,0.589,184808,0,1,1
203.56,76,0.797,0.791,0.33,0.119,0.0,0.113,0.828,-6.264,138.057,0.775,4,1.0,10,0.498,1,0.402,1649304,0,0,0
